pred,succ,quantity
N000000,N000688,2.6346836324516505
N000003,N000963,1.9096334037898133
N000005,N000619,2.4077124975153743
N000006,N000835,1.3763936232163787
N000013,N000551,2.946399427694538
N000014,N000806,2.256498401277208
N000016,N000944,1.0968721802617467
N000021,N000318,1.5423055624624944
N000025,N000325,1.814881959200932
N000028,N000812,2.1288334957124193
N000015,N000032,1.7130416859974416
N000037,N000647,2.7089439065176064
N000038,N000977,2.7110686639818775
N000039,N000208,1.126305270009458
N000044,N000824,2.6031571303798797
N000045,N000782,2.879396191738013
N000048,N000100,2.39306221457233
N000051,N000858,1.2974804416493793
N000055,N000555,1.0539767310423482
N000058,N000563,1.8309517388887695
N000063,N000348,2.0374767961674056
N000066,N000116,2.116064057371103
N000070,N000903,1.7196109281130667
N000071,N000783,2.424866591686878
N000076,N000566,1.3058105262294062
N000085,N000290,2.4946435005359984
N000086,N000404,2.5417890705177433
N000088,N000760,2.9344699984178426
N000089,N000146,1.8525955398371394
N000090,N000648,2.5928695728942124
N000093,N000124,1.4939628126527569
N000095,N000408,2.265840945509678
N000096,N000193,2.5512590705373075
N000098,N000726,2.2857748664757946
N000101,N000946,2.942957483675763
N000105,N000983,1.7862505276566354
N000106,N000715,2.7618103345909866
N000110,N000359,2.973233989271617
N000111,N000584,2.8094857718587423
N000114,N000328,2.3908943753176257
N000118,N000747,1.3398933282038867
N000119,N000951,1.1627416574747969
N000121,N000256,2.651190849069083
N000125,N000583,1.3628687718559211
N000126,N000205,1.2493839692240498
N000131,N000639,2.7834572625394625
N000132,N000963,2.575993540573
N000133,N000878,1.343038997502265
N000046,N000136,1.5857628331513915
N000024,N000141,2.1294546998761974
N000143,N000713,2.751974027013888
N000148,N000920,2.719184129205555
N000151,N000617,2.085057585479068
N000154,N000523,2.352749099306946
N000157,N000626,2.529544308506955
N000163,N000289,1.2039465346440827
N000120,N000164,1.2157471371774096
N000120,N000636,2.614952343718434
N000166,N000718,1.953039037401511
N000169,N000298,1.3546289347190656
N000091,N000170,2.011775857725984
N000091,N000552,2.3356235407888666
N000172,N000800,1.7717965831792288
N000173,N000866,1.5266800059881802
N000175,N000690,2.0177761337155786
N000176,N000697,1.7791785713791302
N000178,N000464,2.666837204399856
N000181,N000678,1.3638873406774066
N000186,N000749,2.5961743769636243
N000184,N000189,1.6482324104025095
N000184,N000743,1.7342346057286782
N000193,N000333,1.2412448337925375
N000194,N000637,2.010461199218593
N000137,N000195,2.3795051395044706
N000137,N000849,2.3267693668434175
N000196,N000806,2.350334930114528
N000201,N000934,2.614504388055395
N000209,N000402,2.0162331005058793
N000214,N000316,2.6816705943002557
N000222,N000757,1.5299420953797938
N000224,N000321,1.9291575834045454
N000123,N000227,1.226039951294534
N000149,N000228,1.2698400844280588
N000072,N000149,1.0362161946018167
N000231,N000659,2.385202720596038
N000233,N000627,2.765425633910078
N000041,N000239,1.499297470460793
N000241,N000434,2.005477210054858
N000001,N000242,2.8658335664286207
N000001,N000451,1.7072621940773747
N000243,N000735,2.7248912357912722
