pred,succ
N000,N1008
N000,N1779
N000,N3034
N000,N2136
N000,N595
N000,N1808
N000,N122
N000,N1108
N000,N2098
N000,N1937
N000,N1807
N000,N323
N000,N667
N1008,N2545
N1008,N3064
N1008,N3965
N1008,N2671
N1008,N1483
N1008,N3988
N1008,N3599
N1008,N3476
N1779,N2835
N1779,N2863
N1779,N3027
N3034,N3953
N3034,N3238
N001,N166
N001,N3307
N001,N3152
N001,N341
N001,N2027
N001,N1169
N001,N1905
N001,N3004
N166,N173
N166,N534
N166,N2372
N166,N258
N166,N3940
N166,N1898
N166,N803
N3307,N3860
N3307,N3557
N3152,N3179
N3152,N3620
N341,N1049
N341,N2704
N341,N961
N341,N3027
N341,N1551
N341,N1827
N341,N3246
N341,N3623
N341,N1523
N341,N1475
N341,N2455
N002,N3551
N002,N804
N002,N178
N002,N1253
N002,N877
N002,N3477
N002,N448
N002,N1614
N002,N1776
N002,N1650
N804,N2994
N804,N834
N804,N2480
N804,N1525
N804,N1645
N804,N3873
N804,N1212
N804,N3009
N804,N1779
N178,N2328
N178,N2128
N178,N3847
N178,N255
N178,N947
N178,N2614
N178,N3296
N178,N596
N178,N3649
N178,N3853
N178,N1743
N178,N1835
N178,N2144
N178,N902
N003,N3458
N003,N302
N003,N225
N003,N1859
N003,N1849
N003,N776
N003,N1991
N003,N1829
N004,N235
N004,N3230
N004,N3863
N004,N3381
N004,N2931
N004,N1798
N004,N2909
N004,N1806
N004,N2267
N004,N1324
N235,N2459
N235,N3733
N235,N3913
N235,N2481
N235,N1464
N235,N2397
N3381,N3578
N3381,N3638
N005,N1577
N005,N1951
N005,N658
N005,N293
N005,N2270
N005,N3968
N005,N1044
N005,N1892
N005,N1040
N005,N3802
N1577,N3942
N1577,N2945
N1577,N3862
N1577,N3918
N1577,N2619
N1577,N3097
N006,N919
N006,N2801
N006,N3472
N006,N2130
N006,N1250
N006,N616
N006,N592
N006,N2320
N006,N634
N006,N2208
N006,N1690
N006,N3335
N006,N1892
N006,N2892
N919,N3864
N919,N2435
N919,N1775
N919,N2047
N919,N2626
N919,N2337
N919,N3360
N3472,N3512
N2130,N3443
N2130,N3444
N2130,N3427
N007,N1207
N007,N3400
N007,N743
N007,N3179
N007,N160
N007,N2698
N007,N3762
N007,N763
N007,N3755
N007,N2688
N007,N403
N007,N3207
N1207,N2060
N1207,N3836
N1207,N1801
N1207,N2099
N1207,N3631
N1207,N2299
N1207,N2730
N1207,N1393
N1207,N2425
N1207,N2100
N3400,N3912
N3400,N3893
N3400,N3707
N008,N3104
N008,N3294
N008,N385
N008,N569
N008,N688
N008,N1924
N008,N286
N008,N3301
N3104,N3238
N3104,N3772
N3104,N3359
N009,N1084
N009,N3369
N009,N1715
N009,N167
N009,N2583
N009,N2268
N009,N2150
N009,N881
N009,N528
N009,N3944
N1084,N3057
