/chain,,,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@StageTime_3_p,/stages/stage/@StageTime_3_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
3,3,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0001,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Trans_0004,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0002,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0003,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0004,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0001,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0001,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0002,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0001,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0002,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Part_0004,Manuf_0002,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Part_0005,Trans_0002,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Part_0005,Trans_0003,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Trans_0001,Manuf_0003,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Trans_0002,Manuf_0003,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Trans_0003,Manuf_0004,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Trans_0004,Dist_0001,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,Trans_0004,Manuf_0004,,,,,,,,,,,,,,,,,,
3,,Company Identifier,SIC Code,SIC Description,,,70,0,1,0.95,Dist,400,Dist_0001,1,,,,,,,35,,384,272
3,,Company Identifier,SIC Code,SIC Description,,,126,0,0,0.95,Dist,150,Dist_0002,1.2,0.8,1,0.2,2,,,132.3,0.4,480,64
3,,Company Identifier,SIC Code,SIC Description,,,57,0,0,0.95,Dist,250,Dist_0003,4.3,0.8,4,0.1,5,0.1,6,51.3,0.640312424,480,144
3,,Company Identifier,SIC Code,SIC Description,,,46,0,0,0.95,Dist,335.4,Dist_0004,4.2,0.8,4,0.2,5,,,45,0.4,480,240
3,,Company Identifier,SIC Code,SIC Description,,,,,3,,Manuf,300,Manuf_0001,12,,,,,,,,,192,32
3,,Company Identifier,SIC Code,SIC Description,,,,,3,,Manuf,250,Manuf_0002,10,,,,,,,,,192,272
3,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,50,Manuf_0003,10,,,,,,,,,384,64
3,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,60,Manuf_0004,10,,,,,,,,,384,192
3,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,1100,Part_0001,45,0.6,40,0.3,50,0.1,60,,6.708203932,96,32
3,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,600,Part_0002,37.5,0.5,30,0.5,45,,,,7.5,96,112
3,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,400,Part_0003,53.5,0.5,50,0.4,55,0.1,65,,4.5,96,192
3,,Company Identifier,SIC Code,SIC Description,,,,,4,,Part,1100,Part_0004,26,0.5,20,0.4,30,0.1,40,,6.633249581,96,272
3,,Company Identifier,SIC Code,SIC Description,,,,,3,,Part,1500,Part_0005,31,0.5,25,0.4,35,0.1,45,,6.633249581,192,144
3,,Company Identifier,SIC Code,SIC Description,,,,,2,,Trans,0,Trans_0001,2,,,,,,,,,288,32
3,,Company Identifier,SIC Code,SIC Description,,,,,2,,Trans,3,Trans_0002,2,,,,,,,,,288,112
3,,Company Identifier,SIC Code,SIC Description,,,,,2,,Trans,2,Trans_0003,2,,,,,,,,,288,192
3,,Company Identifier,SIC Code,SIC Description,,,,,2,,Trans,0,Trans_0004,2,,,,,,,,,288,272
