/chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@StageTime_3_p,/stages/stage/@StageTime_3_v,/stages/stage/@StageTime_4_p,/stages/stage/@StageTime_4_v,/stages/stage/@StageTime_5_p,/stages/stage/@StageTime_5_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
5,5,Company Identifier,SIC Code,SIC Description,Dist_0001,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Dist_0001,Manuf_0003,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Dist_0001,Manuf_0004,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Dist_0001,Manuf_0005,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Manuf_0001,Dist_0001,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Retail_0001,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Retail_0002,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Retail_0003,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Retail_0004,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Retail_0005,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Retail_0006,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Retail_0007,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Retail_0008,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0004,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,
5,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,
