/chain,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@stDevDemand,/stages/stage/@xPos,/stages/stage/@yPos
17,17,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0001,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Dist_0001,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Dist_0002,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Dist_0003,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0004,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0005,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0006,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0007,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0008,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0009,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0010,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0011,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0012,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Dist_0013,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Dist_0014,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Dist_0015,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0016,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0017,,,,,,,,,,,
17,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0018,,,,,,,,,,,
