/chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@StageTime_3_p,/stages/stage/@StageTime_3_v,/stages/stage/@StageTime_4_p,/stages/stage/@StageTime_4_v,/stages/stage/@StageTime_5_p,/stages/stage/@StageTime_5_v,/stages/stage/@StageTime_6_p,/stages/stage/@StageTime_6_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
20,20,Company Identifier,SIC Code,SIC Description,Manuf_0001,Manuf_0003,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Manuf_0003,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Manuf_0006,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Manuf_0008,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Manuf_0009,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Manuf_0010,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Trans_0005,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Trans_0008,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Trans_0018,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Trans_0019,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Trans_0017,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Trans_0028,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0015,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0012,Manuf_0018,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0013,Manuf_0039,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0015,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0016,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0017,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0018,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0019,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0020,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0021,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0022,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0023,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0024,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0025,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0026,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0027,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0028,Manuf_0043,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0029,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0032,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0033,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0034,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0035,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0036,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0037,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0038,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0039,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0040,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0041,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0042,Manuf_0044,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0043,Trans_0031,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0043,Trans_0032,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0043,Trans_0033,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0044,Trans_0034,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0044,Trans_0035,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Manuf_0044,Trans_0036,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0004,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Part_0004,Manuf_0005,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0007,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0009,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Part_0007,Manuf_0009,,,,,,,,,,,,,,,,,,,,,,,,
20,,Company Identifier,SIC Code,SIC Description,Part_0008,Manuf_0009,,,,,,,,,,,,,,,,,,,,,,,,
