/chain,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
32,32,Company Identifier,SIC Code,SIC Description,Dist_0001,Dist_0112,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0001,Retail_0001,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0002,Dist_0113,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0002,Retail_0002,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0003,Dist_0114,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0003,Retail_0003,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0004,Dist_0115,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0004,Retail_0004,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0005,Dist_0116,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0005,Retail_0005,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0006,Dist_0117,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0006,Retail_0006,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0007,Dist_0118,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0007,Retail_0007,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0008,Dist_0119,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0008,Retail_0008,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0009,Dist_0120,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0009,Retail_0009,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0010,Dist_0121,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0010,Retail_0010,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0011,Dist_0122,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0011,Retail_0011,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0012,Dist_0123,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0012,Retail_0012,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0013,Dist_0124,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0013,Retail_0013,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0014,Dist_0125,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0014,Retail_0014,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0015,Dist_0126,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0015,Retail_0015,,,,,,,,,,,,,,,,
32,,Company Identifier,SIC Code,SIC Description,Dist_0016,Dist_0127,,,,,,,,,,,,,,,,
