/chain,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
38,38,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0001,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Trans_0002,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Trans_0003,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Trans_0004,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Trans_0005,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Trans_0006,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Trans_0007,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Trans_0008,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Trans_0009,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Trans_0010,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Trans_0011,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0012,Trans_0012,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0013,Trans_0013,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Trans_0014,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0015,Trans_0015,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0016,Trans_0016,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0017,Trans_0017,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0018,Trans_0018,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0019,Trans_0019,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0020,Trans_0020,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0021,Trans_0021,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0022,Trans_0022,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0023,Trans_0023,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0024,Trans_0024,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0025,Trans_0025,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0026,Trans_0026,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0027,Trans_0027,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0028,Trans_0028,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0028,Trans_0029,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0029,Trans_0030,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Trans_0031,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Trans_0032,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Trans_0033,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Trans_0034,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Trans_0035,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Trans_0036,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Trans_0037,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Trans_0038,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Trans_0039,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Trans_0040,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Trans_0041,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Trans_0042,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Trans_0043,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Trans_0044,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Trans_0045,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Trans_0046,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Trans_0047,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Trans_0048,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0032,Trans_0049,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0032,Trans_0050,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0032,Trans_0051,,,,,,,,,,,,
38,,Company Identifier,SIC Code,SIC Description,Manuf_0032,Trans_0052,,,,,,,,,,,,
